file_name,signal_name,category,row_count,null_count,zero_pct,val_min,val_max,val_mean,val_std,p05,p25,p50,p75,p95,outlier_count,start_time,end_time,duration_days,expected_rows,gap_ratio,notes,median_interval_sec,interval_label,gap_meaningful,gap_class
greal_W_WMZ_E_Halle.csv,greal_W_WMZ_E_Halle,thermal_energy,4515093,0,24.21,0.0,4.48,3.147157,1.789467,0.0,3.2203,4.0203,4.31,4.41,0,2022-12-19 11:18:17+02:00,2026-05-27 10:03:18+03:00,1254.91,5421195,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_E_Nord.csv,greal_W_WMZ_E_Nord,thermal_energy,4515093,0,22.95,0.0,121.03,85.740127,47.165098,0.0,99.4347,109.5971,114.1192,120.8659,0,2022-12-19 11:18:17+02:00,2026-05-27 10:03:18+03:00,1254.91,5421195,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_E_Sued.csv,greal_W_WMZ_E_Sued,thermal_energy,4515093,0,0.0,0.0,194.51,161.214692,19.286167,130.5569,149.8274,158.578,175.6273,192.1515,76,2022-12-19 11:18:17+02:00,2026-05-27 10:03:18+03:00,1254.91,5421195,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_E_WP.csv,greal_W_WMZ_E_WP,thermal_energy,4515093,0,6.67,0.0,139.57,0.001737,0.146873,0.0,0.0016,0.0017,0.0018,0.0018,5,2022-12-19 11:18:17+02:00,2026-05-27 10:03:18+03:00,1254.91,5421195,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_Altbau.csv,greal_W_WMZ_P_Altbau,thermal_power,4515082,0,91.46,0.0,252.83,1.655319,12.995362,0.0,0.0,0.0,0.0,1.3678,56018,2022-12-19 11:23:24+02:00,2026-05-27 10:03:18+03:00,1254.9,5421179,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_bhkw1.csv,greal_W_WMZ_P_bhkw1,thermal_power,4515050,0,77.43,0.0,45.73,1.589657,6.757073,0.0,0.0,0.0,0.0,13.2521,208409,2022-12-19 11:34:12+02:00,2026-05-27 10:03:18+03:00,1254.9,5421147,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_bhkw2.csv,greal_W_WMZ_P_bhkw2,thermal_power,4515050,0,88.29,0.0,43612.4062,3.063275,73.650328,0.0,0.0,0.0,0.0,25.2323,3539,2022-12-19 11:34:12+02:00,2026-05-27 10:03:18+03:00,1254.9,5421147,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_Halle.csv,greal_W_WMZ_P_Halle,thermal_power,4515082,0,90.82,0.0,3.64,0.06806,0.271728,0.0,0.0,0.0,0.0,0.5876,137121,2022-12-19 11:23:24+02:00,2026-05-27 10:03:18+03:00,1254.9,5421179,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_Nord.csv,greal_W_WMZ_P_Nord,thermal_power,4515082,0,67.32,0.0,38.22,0.728327,1.728157,0.0,0.0,0.0,0.3785,4.6306,118274,2022-12-19 11:23:24+02:00,2026-05-27 10:03:18+03:00,1254.9,5421179,0.1671,ok,20.0,~20s,True,moderate_gap
greal_W_WMZ_P_Sued.csv,greal_W_WMZ_P_Sued,thermal_power,4515082,0,33.29,0.0,49.79,2.253171,3.964761,0.0,0.0,0.0484,3.5152,10.7014,78138,2022-12-19 11:23:24+02:00,2026-05-27 10:03:18+03:00,1254.9,5421179,0.1671,ok,20.0,~20s,True,moderate_gap
