file_name,extension,size_bytes,size_mb,is_empty
greal_E_Gebaeude.csv,.csv,277505097,264.649,False
greal_W_WMZ_P_Sued.csv,.csv,277057192,264.222,False
greal_BatterieLadeZustand.csv,.csv,275898072,263.117,False
greal_E_GebaeudeNord.csv,.csv,273960071,261.269,False
greal_LeistungTankStelle3.csv,.csv,272606872,259.978,False
realLeistungGebSued.csv,.csv,271284512,258.717,False
greal_WMZ_Hz_Erz_BHKW.csv,.csv,267729437,255.327,False
greal_E_bhkw1.csv,.csv,266925680,254.56,False
greal_WMZ_Hz_Erz_ges.csv,.csv,266160019,253.83,False
greal_K_WMZ_P_Server.csv,.csv,264521954,252.268,False
greal_E_PV3.csv,.csv,259308375,247.296,False
greal_E_PV1.csv,.csv,257652524,245.717,False
greal_E_PV2.csv,.csv,256823994,244.926,False
greal_E_PV7.csv,.csv,256407593,244.529,False
greal_E_PV4.csv,.csv,256265532,244.394,False
greal_K_WMZ_P_Altbau.csv,.csv,255088106,243.271,False
greal_E_WP.csv,.csv,254701440,242.902,False
greal_E_PV6.csv,.csv,254481325,242.692,False
greal_E_PV5.csv,.csv,253976948,242.211,False
greal_W_WMZ_P_Nord.csv,.csv,253000922,241.28,False
greal_W_WMZ_P_bhkw1.csv,.csv,252782041,241.072,False
real_PV_Gesamt.csv,.csv,251282960,239.642,False
greal_WMZ_Kalt_Erz_WP.csv,.csv,251029043,239.4,False
greal_K_WMZ_P_Bespr.csv,.csv,249141901,237.6,False
greal_W_WMZ_P_Altbau.csv,.csv,248775039,237.25,False
greal_LeistungBHKW1.csv,.csv,248425173,236.917,False
greal_K_WMZ_P_GF.csv,.csv,247887855,236.404,False
greal_K_WMZ_P_Halle.csv,.csv,247146754,235.698,False
grealCluster_1_Ladung.csv,.csv,247073914,235.628,False
grealCluster_3_Ladung.csv,.csv,247063014,235.618,False
grealCluster_4_Ladung.csv,.csv,247056474,235.611,False
grealCluster_2_Ladung.csv,.csv,247053543,235.609,False
greal_K_WMZ_P_Sued.csv,.csv,246246180,234.839,False
greal_K_WMZ_P_Nord.csv,.csv,245518526,234.145,False
greal_W_WMZ_P_bhkw2.csv,.csv,245481598,234.109,False
realLeistungGebNord.csv,.csv,245381505,234.014,False
greal_E_GebaeudeSystem.csv,.csv,243084393,231.823,False
greal_WMZ_Hz_Erz_WP.csv,.csv,242852229,231.602,False
greal_WMZ_Kalt.csv,.csv,242091312,230.876,False
greal_LeistungBHKW2.csv,.csv,242067838,230.854,False
greal_W_WMZ_P_Halle.csv,.csv,241872466,230.668,False
greal_E_bhkw2.csv,.csv,234590121,223.723,False
greal_W_WMZ_P_WP.csv,.csv,228084143,217.518,False
greal_K_WMZ_P_WP.csv,.csv,227401806,216.867,False
real_P_BHKW.csv,.csv,214736183,204.788,False
greal_Gas_bhkw1.csv,.csv,213950424,204.039,False
sun_alt.csv,.csv,193349932,184.393,False
sun_azi.csv,.csv,191793055,182.908,False
wind_tomorrow.csv,.csv,162882374,155.337,False
wind_now.csv,.csv,145551339,138.809,False
realLeistungGebSystem.csv,.csv,132049675,125.932,False
real_aktVerbrauchGasBhkwImp2.csv,.csv,105612081,100.72,False
real_aktVerbrauchGasBhkwImp.csv,.csv,103850070,99.039,False
real_aktVerbrauchGasBhkwImp1.csv,.csv,102233614,97.498,False
grealThermLeistungWaermeFBH_Sued.csv,.csv,23877547,22.771,False
grealThermLeistungWaermeFBH_Nord.csv,.csv,22271517,21.24,False
realIstTempRuecklPuffAltbau.csv,.csv,22076407,21.054,False
realLeistungsfaktorST25.csv,.csv,21899862,20.885,False
realLeistungsfaktorST24.csv,.csv,21840294,20.829,False
grealTempAussenGefiltert.csv,.csv,21689986,20.685,False
greal_VorlaufTempKennlinie.csv,.csv,21423021,20.431,False
grealIstWaermepumpVorlauf.csv,.csv,21165428,20.185,False
grealThermLeistungWaermeHalle.csv,.csv,20134783,19.202,False
greal_VorlaufTempKennlinie_K.csv,.csv,19245605,18.354,False
realSollwertReglerWP1.csv,.csv,16935397,16.151,False
greal_AZ_WP_Energie.csv,.csv,16310536,15.555,False
greal_SollTempAZplus.csv,.csv,16295142,15.54,False
TimerRuecklaufAltbau.csv,.csv,16245340,15.493,False
realIstTempPuffAltbau.csv,.csv,16023535,15.281,False
greal_WP3AbtauSek.csv,.csv,15550514,14.83,False
greal_WP2AbtauSek.csv,.csv,15479055,14.762,False
greal_WP1AbtauSek.csv,.csv,15417943,14.704,False
real_BatterieVerlustEnergie.csv,.csv,2915259,2.78,False
greal_PV_Ges_prog.csv,.csv,2912927,2.778,False
greal_RL_TempFBH_OG.csv,.csv,1695080,1.617,False
greal_VL_TempFBH_OG.csv,.csv,1690299,1.612,False
greal_T_Server_EG.csv,.csv,1479570,1.411,False
dintVolGasVerbrauchBhkwImp1.csv,.csv,1380580,1.317,False
dintVolGasVerbrauchBhkwImp2.csv,.csv,1379709,1.316,False
val1006.csv,.csv,160418,0.153,False
greal_StellungUmluftKlappe.csv,.csv,125113,0.119,False
greal_StellungFortluftKlappe.csv,.csv,118028,0.113,False
greal_realTempVorlBKT_EG.csv,.csv,114478,0.109,False
val1007.csv,.csv,114355,0.109,False
realTempRuecklBKT_EG.csv,.csv,108086,0.103,False
greal_Soll_T_BKT.csv,.csv,80110,0.076,False
val1008.csv,.csv,48857,0.047,False
val1009.csv,.csv,39991,0.038,False
A.csv,.csv,10266,0.01,False
V_real_AbtauTemperaturBetrieb.csv,.csv,2928,0.003,False
Vreal_WP_Ein_BatterieKritsch.csv,.csv,2724,0.003,False
Vreal_WP_Ein_BatterieKritschHys.csv,.csv,2691,0.003,False
_value.csv,.csv,2541,0.002,False
V_real_maxVorlaufTempK.csv,.csv,2515,0.002,False
V_real_minVorlaufTempK.csv,.csv,2515,0.002,False
V_real_minVorlaufTemp.csv,.csv,2362,0.002,False
greal_Administrator_HT.csv,.csv,2350,0.002,False
V_real_maxVorlaufTemp.csv,.csv,2308,0.002,False
V_real_maxVorlaufTempY4.csv,.csv,2280,0.002,False
V_real_minVorlaufTempY4.csv,.csv,2280,0.002,False
greal_Nachtabsenkung.csv,.csv,2268,0.002,False
Vreal_WP_Ein_Batterie.csv,.csv,2254,0.002,False
V_real_NachtabsenkungY4.csv,.csv,2190,0.002,False
V_real_Nachtabsenkung.csv,.csv,2165,0.002,False
greal_Wochenendwert.csv,.csv,2120,0.002,False
greal_JalousienMaxWind.csv,.csv,2117,0.002,False
V_realSollTempAZmax.csv,.csv,2085,0.002,False
V_realMinVL_WPcool.csv,.csv,2080,0.002,False
V_real_maxAT_K.csv,.csv,2061,0.002,False
V_real_minAT_K.csv,.csv,2061,0.002,False
V_real_maxAT.csv,.csv,1930,0.002,False
V_realMaxVL_WP.csv,.csv,1920,0.002,False
V_real_maxATY4.csv,.csv,1920,0.002,False
V_real_minATY4.csv,.csv,1885,0.002,False
V_real_minAT.csv,.csv,1878,0.002,False
V_realAZmax.csv,.csv,1765,0.002,False
V_realAZmin.csv,.csv,1765,0.002,False
V_realHysWP.csv,.csv,1765,0.002,False
greal_K_WMZ_TR_bhkw1.csv,.csv,459,0.0,False
greal_K_WMZ_TR_bhkw2.csv,.csv,459,0.0,False
greal_K_WMZ_TV_bhkw1.csv,.csv,459,0.0,False
greal_K_WMZ_TV_bhkw2.csv,.csv,459,0.0,False
Vreal_maxTempSpeicherUnten.csv,.csv,458,0.0,False
greal_K_WMZ_E_bhkw1.csv,.csv,453,0.0,False
greal_K_WMZ_E_bhkw2.csv,.csv,453,0.0,False
VrealSpeicherWW_BHKW_Aus.csv,.csv,444,0.0,False
VrealSpeicherWW_BHKW_Ein.csv,.csv,444,0.0,False
greal_K_WMZ_TR_WP.csv,.csv,441,0.0,False
greal_K_WMZ_TV_WP.csv,.csv,441,0.0,False
Vreal_maxSpeicher.csv,.csv,395,0.0,False
Vreal_minSpeicher.csv,.csv,395,0.0,False
greal_K_WMZ_P_bhkw1.csv,.csv,351,0.0,False
greal_K_WMZ_P_bhkw2.csv,.csv,351,0.0,False
pilot.csv,.csv,216,0.0,False
