file_name,start_utc,end_utc,duration_days,median_interval_sec,interval_label,interval_regular,head_gap_detected
A.csv,2022-11-30T10:20:49.846000+00:00,2022-11-30T10:57:43+00:00,0.0,5.0,~5s,True,False
TimerRuecklaufAltbau.csv,2022-12-14T13:46:49+00:00,2026-05-27T07:03:04+00:00,1259.7,300.0,~5min,False,True
V_realAZmax.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2312.5,~1hr,False,True
V_realAZmin.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2312.5,~1hr,False,True
V_realHysWP.csv,2022-12-15T14:29:56+00:00,2026-02-10T09:32:12+00:00,1152.8,2700.0,~1hr,False,True
V_realMaxVL_WP.csv,2022-12-15T12:57:32+00:00,2026-02-10T09:32:12+00:00,1152.9,2312.5,~1hr,False,True
V_realMinVL_WPcool.csv,2022-12-15T12:57:32+00:00,2026-02-10T09:32:12+00:00,1152.9,2312.5,~1hr,False,True
V_realSollTempAZmax.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.5,~1hr,False,True
V_real_AbtauTemperaturBetrieb.csv,2022-12-15T14:29:56+00:00,2026-02-10T09:32:12+00:00,1152.8,3780.0,~63min,False,True
V_real_Nachtabsenkung.csv,2022-12-15T11:38:39+00:00,2026-02-10T09:32:12+00:00,1152.9,2312.5,~1hr,False,True
V_real_NachtabsenkungY4.csv,2022-12-15T11:38:39+00:00,2025-11-17T18:36:29+00:00,1068.3,2312.5,~1hr,False,True
V_real_maxAT.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
V_real_maxATY4.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2312.5,~1hr,False,True
V_real_maxAT_K.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,3240.5,~1hr,False,True
V_real_maxVorlaufTemp.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,3240.5,~1hr,False,True
V_real_maxVorlaufTempK.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,3240.5,~1hr,False,True
V_real_maxVorlaufTempY4.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
V_real_minAT.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
V_real_minATY4.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2312.5,~1hr,False,True
V_real_minAT_K.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,3241.0,~1hr,False,True
V_real_minVorlaufTemp.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
V_real_minVorlaufTempK.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
V_real_minVorlaufTempY4.csv,2022-12-15T10:28:59+00:00,2026-02-10T09:32:12+00:00,1153.0,2313.0,~1hr,False,True
VrealSpeicherWW_BHKW_Aus.csv,2022-12-14T13:52:15+00:00,2022-12-14T13:54:15+00:00,0.0,20.0,~20s,True,False
VrealSpeicherWW_BHKW_Ein.csv,2022-12-14T13:52:15+00:00,2022-12-14T13:54:16+00:00,0.0,20.0,~20s,True,False
Vreal_WP_Ein_Batterie.csv,2022-12-15T12:57:32+00:00,2026-02-10T09:32:12+00:00,1152.9,2312.5,~1hr,False,True
Vreal_WP_Ein_BatterieKritsch.csv,2022-12-15T12:57:32+00:00,2026-02-10T09:32:12+00:00,1152.9,2700.0,~1hr,False,True
Vreal_WP_Ein_BatterieKritschHys.csv,2022-12-15T12:57:32+00:00,2026-02-10T09:32:12+00:00,1152.9,4662.0,~78min,False,True
Vreal_maxSpeicher.csv,2022-12-14T13:52:15+00:00,2022-12-14T13:54:16+00:00,0.0,20.0,~20s,True,False
Vreal_maxTempSpeicherUnten.csv,2022-12-14T13:52:15+00:00,2022-12-14T13:54:16+00:00,0.0,20.0,~20s,True,False
Vreal_minSpeicher.csv,2022-12-14T13:52:15+00:00,2022-12-14T13:54:15+00:00,0.0,20.0,~20s,True,False
_value.csv,2022-11-30T10:41:18+00:00,2022-11-30T10:42:21+00:00,0.0,1.0,~5s,True,False
dintVolGasVerbrauchBhkwImp1.csv,2022-12-07T15:56:28+00:00,2022-12-13T16:19:39+00:00,6.0,20.0,~20s,False,False
dintVolGasVerbrauchBhkwImp2.csv,2022-12-07T15:56:39+00:00,2022-12-13T16:19:39+00:00,6.0,20.0,~20s,False,False
grealCluster_1_Ladung.csv,2022-12-06T16:04:43+00:00,2026-05-27T07:03:18+00:00,1267.6,5.0,~5s,True,False
grealCluster_1_Spannung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
grealCluster_2_Ladung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
grealCluster_2_Spannung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
grealCluster_3_Ladung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
grealCluster_3_Spannung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
grealCluster_4_Ladung.csv,2022-12-06T16:21:15+00:00,2026-05-27T07:03:18+00:00,1267.6,20.0,~20s,True,False
