signal_name,category,agg_type,rows_in,rows_out,notes
greal_LeistungTankStelle2,ev_power,mean,4561545,25376,ok
greal_LeistungTankStelle3,ev_power,mean,4561545,25376,ok
greal_LeistungTankStellen,unknown,mean,4544006,25280,ok
greal_Nachtabsenkung,night_setback,last,42,35,ok
greal_PV_Ges_prog,pv_forecast,mean,49991,25009,ok
greal_realTempVorlBKT_EG,zone_supply_temp,mean,1634,141,ok
greal_RL_TempFBH_OG,zone_return_temp,mean,26116,147,ok
greal_Soll_T_BKT,zone_setpoint,last,1634,141,ok
greal_SollTempAZplus,hvac_setpoint,last,302317,25225,ok
greal_Speicher_WW_Prozent,dhw_level,mean,4535754,25230,ok
greal_StellungFortluftKlappe,damper_position,mean,1694,147,ok
greal_StellungUmluftKlappe,damper_position,mean,1694,147,ok
greal_T_Server_EG,indoor_temp,mean,23556,6350,ok
greal_VL_TempFBH_OG,zone_supply_temp,mean,26115,147,ok
greal_VorlaufTempKennlinie,heating_curve,last,302313,25224,ok
greal_VorlaufTempKennlinie_K,heating_curve,last,302318,25225,ok
greal_W_WMZ_E_Altbau,thermal_energy,delta,4515093,25114,ok
greal_W_WMZ_E_bhkw1,thermal_energy,delta,4515047,25114,ok
greal_W_WMZ_E_bhkw2,thermal_energy,delta,4515047,25114,ok
greal_W_WMZ_E_Halle,thermal_energy,delta,4515093,25114,ok
greal_W_WMZ_E_Nord,thermal_energy,delta,4515093,25114,ok
greal_W_WMZ_E_Sued,thermal_energy,delta,4515093,25114,ok
greal_W_WMZ_E_WP,thermal_energy,delta,4515093,25114,ok
greal_W_WMZ_P_Altbau,thermal_power,mean,4515082,25114,ok
greal_W_WMZ_P_bhkw1,thermal_power,mean,4515050,25114,ok
greal_W_WMZ_P_bhkw2,thermal_power,mean,4515050,25114,ok
greal_W_WMZ_P_Halle,thermal_power,mean,4515082,25114,ok
greal_W_WMZ_P_Nord,thermal_power,mean,4515082,25114,ok
greal_W_WMZ_P_Sued,thermal_power,mean,4515082,25114,ok
greal_W_WMZ_P_WP,thermal_power,mean,4515082,25114,ok
greal_W_WMZ_TR_Altbau,heating_return_temp,mean,4768764,25114,ok
greal_W_WMZ_TR_bhkw1,heating_return_temp,mean,4768550,25114,ok
greal_W_WMZ_TR_bhkw2,heating_return_temp,mean,4768478,25114,ok
greal_W_WMZ_TR_Halle,heating_return_temp,mean,4768925,25114,ok
greal_W_WMZ_TR_Nord,heating_return_temp,mean,4768888,25114,ok
greal_W_WMZ_TR_Sued,heating_return_temp,mean,4768762,25114,ok
greal_W_WMZ_TR_WP,heating_return_temp,mean,4768601,25114,ok
greal_W_WMZ_TV_Altbau,heating_supply_temp,mean,4769040,25114,ok
greal_W_WMZ_TV_bhkw1,heating_supply_temp,mean,4769013,25114,ok
greal_W_WMZ_TV_bhkw2,heating_supply_temp,mean,4768928,25114,ok
greal_W_WMZ_TV_Halle,heating_supply_temp,mean,4769233,25114,ok
greal_W_WMZ_TV_Nord,heating_supply_temp,mean,4769356,25114,ok
greal_W_WMZ_TV_Sued,heating_supply_temp,mean,4769140,25114,ok
greal_W_WMZ_TV_WP,heating_supply_temp,mean,4769105,25114,ok
greal_WMZ_Hz_Erz_BHKW,thermal_energy,delta,4537543,25241,ok
greal_WMZ_Hz_Erz_ges,thermal_energy,delta,4537544,25241,ok
greal_WMZ_Hz_Erz_WP,thermal_energy,delta,4537539,25241,ok
greal_WMZ_Kalt,thermal_energy,delta,4531288,25205,ok
greal_WMZ_Kalt_Erz_WP,thermal_energy,delta,4531286,25205,ok
greal_WMZ_Warm,thermal_energy,delta,4537538,25241,ok
greal_Wochenendwert,hvac_setpoint,last,40,33,ok
greal_WP1AbtauSek,hp_defrost,sum,302312,25224,ok
greal_WP2AbtauSek,hp_defrost,sum,302312,25224,ok
greal_WP3AbtauSek,hp_defrost,sum,302312,25224,ok
grealCluster_1_Ladung,battery_charge,mean,4568671,25416,ok
grealCluster_1_Spannung,battery_voltage,mean,4568624,25416,ok
grealCluster_2_Ladung,battery_charge,mean,4568582,25416,ok
grealCluster_2_Spannung,battery_voltage,mean,4568584,25416,ok
grealCluster_3_Ladung,battery_charge,mean,4568579,25416,ok
grealCluster_3_Spannung,battery_voltage,mean,4568581,25416,ok
grealCluster_4_Ladung,battery_charge,mean,4568580,25416,ok
grealCluster_4_Spannung,battery_voltage,mean,4568580,25416,ok
grealIstWaermepumpVorlauf,hp_supply_temp,mean,302312,25224,ok
grealTempAussenGefiltert,outdoor_temp,mean,304326,25394,ok
grealThermLeistungWaermeFBH_Nord,thermal_power,mean,302070,25202,ok
grealThermLeistungWaermeFBH_Sued,thermal_power,mean,302070,25202,ok
grealThermLeistungWaermeHalle,thermal_power,mean,302070,25202,ok
green_bat,battery_current,mean,6947349,28790,ok
green_t1,battery_temp,mean,6947334,28802,ok
green_t2,battery_temp,mean,6985842,28808,ok
green_t3,battery_temp,mean,6985849,28808,ok
real_aktGesamtLeistungBHKW,chp_power,mean,5092232,28324,ok
real_aktVerbrauchGasBhkwImp,chp_gas,delta,1690373,28218,ok
real_aktVerbrauchGasBhkwImp1,chp_gas,delta,1692044,28365,ok
real_aktVerbrauchGasBhkwImp2,chp_gas,delta,1692046,28365,ok
