file_name,median_interval_sec,min_interval_sec,max_interval_sec,interval_label,interval_regular,head_rows_parsed
greal_E_bhkw1.csv,20.0,4.0,32.0,~20s,False,30
greal_E_bhkw2.csv,20.0,4.0,32.0,~20s,False,30
greal_Gas_bhkw1.csv,20.0,19.0,33.0,~20s,True,30
greal_Gas_bhkw2.csv,20.0,19.0,33.0,~20s,True,30
greal_Gas_bhkwges.csv,20.0,19.0,21.0,~20s,True,30
greal_JalousienMaxWind.csv,3778.0,299.0,54958.0,~63min,False,30
greal_K_WMZ_E_Altbau.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_E_Bespr.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_E_GF.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_E_Halle.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_E_Nord.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_E_Server.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_E_Sued.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_E_WP.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_E_bhkw1.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_E_bhkw2.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_P_Altbau.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_P_Bespr.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_P_GF.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_P_Halle.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_P_Nord.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_P_Server.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_P_Sued.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_P_WP.csv,20.0,15.0,58486.0,~20s,True,30
greal_K_WMZ_P_bhkw1.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_P_bhkw2.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TR_Altbau.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TR_Bespr.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TR_GF.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TR_Halle.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TR_Nord.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TR_Server.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TR_Sued.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TR_WP.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TR_bhkw1.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TR_bhkw2.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TV_Altbau.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TV_Bespr.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TV_GF.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TV_Halle.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TV_Nord.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TV_Server.csv,20.0,20.0,36.0,~20s,True,30
greal_K_WMZ_TV_Sued.csv,20.0,20.0,1291.0,~20s,True,30
greal_K_WMZ_TV_WP.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TV_bhkw1.csv,20.0,20.0,20.0,~20s,True,6
greal_K_WMZ_TV_bhkw2.csv,20.0,20.0,20.0,~20s,True,6
greal_LeistungBHKW1.csv,20.0,20.0,38.0,~20s,True,30
greal_LeistungBHKW2.csv,20.0,20.0,38.0,~20s,True,30
greal_LeistungGebaeude.csv,20.0,16.0,20.0,~20s,True,30
greal_LeistungTankStelle1.csv,20.0,20.0,20.0,~20s,True,30
greal_LeistungTankStelle2.csv,20.0,20.0,20.0,~20s,True,30
greal_LeistungTankStelle3.csv,20.0,20.0,20.0,~20s,True,30
greal_LeistungTankStellen.csv,20.0,1.0,20.0,~20s,False,30
greal_Nachtabsenkung.csv,3240.0,300.0,85831.0,~1hr,False,30
greal_PV_Ges_prog.csv,1800.0,1800.0,1962.0,~1hr,True,30
greal_RL_TempFBH_OG.csv,20.0,20.0,20.0,~20s,True,30
greal_SollTempAZplus.csv,300.0,300.0,5090.0,~5min,False,30
greal_Soll_T_BKT.csv,300.0,300.0,600.0,~5min,True,30
greal_Speicher_WW_Prozent.csv,20.0,20.0,41.0,~20s,True,30
greal_StellungFortluftKlappe.csv,300.0,299.0,867.0,~5min,False,30
greal_StellungUmluftKlappe.csv,300.0,299.0,867.0,~5min,False,30
greal_T_Server_EG.csv,900.0,92.0,75297.0,~15min,False,30
greal_VL_TempFBH_OG.csv,20.0,20.0,20.0,~20s,True,30
greal_VorlaufTempKennlinie.csv,300.0,300.0,6472.0,~5min,True,30
greal_VorlaufTempKennlinie_K.csv,300.0,264.0,5090.0,~5min,False,30
greal_WMZ_Hz_Erz_BHKW.csv,20.0,20.0,44.0,~20s,False,30
greal_WMZ_Hz_Erz_WP.csv,20.0,20.0,44.0,~20s,False,30
greal_WMZ_Hz_Erz_ges.csv,20.0,20.0,44.0,~20s,False,30
greal_WMZ_Kalt.csv,20.0,19.0,21.0,~20s,True,30
greal_WMZ_Kalt_Erz_WP.csv,20.0,19.0,21.0,~20s,True,30
greal_WMZ_Warm.csv,20.0,20.0,44.0,~20s,False,30
greal_WP1AbtauSek.csv,300.0,300.0,6472.0,~5min,True,30
greal_WP2AbtauSek.csv,300.0,300.0,6472.0,~5min,True,30
greal_WP3AbtauSek.csv,300.0,300.0,6472.0,~5min,True,30
greal_W_WMZ_E_Altbau.csv,20.0,20.0,34.0,~20s,True,30
greal_W_WMZ_E_Halle.csv,20.0,20.0,34.0,~20s,True,30
greal_W_WMZ_E_Nord.csv,20.0,20.0,34.0,~20s,True,30
greal_W_WMZ_E_Sued.csv,20.0,20.0,34.0,~20s,True,30
greal_W_WMZ_E_WP.csv,20.0,20.0,34.0,~20s,True,30
greal_W_WMZ_E_bhkw1.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_E_bhkw2.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_Altbau.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_Halle.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_Nord.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_Sued.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_WP.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_bhkw1.csv,20.0,20.0,20.0,~20s,True,30
greal_W_WMZ_P_bhkw2.csv,20.0,20.0,20.0,~20s,True,30
